"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"X1109552","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides",""
"X192795","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","rhizosphaerae"
"X646961","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","","",""
"X432284","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","","",""
"X182065","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",""
"X226125","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga",""
"X193829","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"X558281","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",""
"X4477450","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","",""
"X564581","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","",""
"X660099","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",""
"X337909","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","",""
"X4308038","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","",""
"X4424924","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia",""
"X548689","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens",""
"X1862340","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"X4413214","Bacteria","Proteobacteria","Alphaproteobacteria","","","",""
"X248902","Bacteria","Firmicutes","Bacilli","Turicibacterales","Turicibacteraceae","Turicibacter",""
"X242141","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Paludibacter",""
"X303239","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",""
"X4345640","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia",""
"X3494917","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","",""
"X263179","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"X7183","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Pandoraea",""
"X4372091","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","",""
"X356644","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",""
"X147484","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","",""
"X526358","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"X4332034","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","",""
"X558915","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","",""
"X4471762","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Bibersteinia","trehalosi"
"X4475784","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",""
"X235127","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","",""
"X551396","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Gallibacterium",""
"X834795","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas",""
"X4365611","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"X4365614","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","dispar"
"X4379223","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",""
"X925707","Bacteria","Firmicutes","Bacilli","Gemellales","Gemellaceae","",""
"X4440670","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella",""
"X4423236","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","segnis"
"X4437455","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","","",""
"X51109","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Selenomonas",""
"X4440018","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella",""
"X521982","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","",""
"X1105860","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",""
"X542027","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloramator",""
"X4426333","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","rubidaea"
"X4449055","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","plebeius"
"X523589","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","neonatale"
"X139056","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",""
"X4456892","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rahnella","aquatilis"
"X4448676","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira",""
"X179620","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","biforme"
"X539647","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",""
"X495394","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",""
"X495396","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Anaerococcus",""
"X495391","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Peptoniphilus",""
"X395008","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina",""
"X4309550","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",""
"X137183","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",""
"X368486","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"X4469400","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","",""
"X4469401","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",""
"X808203","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",""
"X533277","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","minor"
"X4453318","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Grevillea","robusta"
"X756682","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","",""
"X4480882","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",""
"X165118","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella",""
"X834097","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","",""
"X830659","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",""
"X2936048","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","p-75-a5",""
"X183419","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"X3334052","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","",""
"X4479695","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",""
"X3581990","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","",""
"X1140286","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus","aerolatus"
"X807782","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","",""
"X4475936","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella","enterica"
"X4460404","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"X574535","Bacteria","Acidobacteria","iii1-8","DS-18","","",""
"X527762","Bacteria","Cyanobacteria","4C0d-2","YS2","","",""
"X4396884","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia",""
"X310283","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","",""
"X341657","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Anaerovibrio",""
"X1147200","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Zoogloea",""
"X565016","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix",""
"X4328443","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"X528116","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"X4380191","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","faecis"
"X4468965","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria","Gyrocarpus","americanus"
"X10180","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Aquamonas","haywardensis"
"X295180","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","","",""
"X4462446","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","tyrobutyricum"
"X355530","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",""
"X591285","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","longum"
"X4442523","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Phascolarctobacterium",""
"X1122581","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",""
"X3119356","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","","",""
"X541328","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","butyricum"
"X277295","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","",""
"X3694342","Bacteria","Firmicutes","Clostridia","Clostridiales","EtOH8","",""
"X4424063","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"X929580","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",""
"X154591","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae","",""
"X542475","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","mesophilicum"
"X2730947","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","barnesiae"
"X4379979","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera",""
"X4479484","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"X332958","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","marcescens"
"X4294457","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia","mucilaginosa"
"X52166","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megasphaera",""
"X327923","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Halorhodospira",""
"X4359088","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum",""
"X509721","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae","",""
"X343257","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Megamonas",""
"X1106577","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae","Pseudoalteromonas","porphyrae"
"X163775","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Plesiomonas","shigelloides"
"X4330340","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bombiscardovia",""
"X322341","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",""
"X4447567","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","",""
"X992686","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","1855D",""
"X184922","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Dialister",""
"X531748","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Thiomonas",""
"X108476","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Dethiosulfatibacter",""
"X1107773","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","","",""
"X1124095","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","fleischmannii"
"X4340162","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",""
"X3344719","Bacteria","Proteobacteria","Gammaproteobacteria","[Marinicellales]","[Marinicellaceae]","",""
"X294856","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium",""
"X634286","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","ML110J-20",""
"X190975","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","",""
"X430929","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","",""
"X4423978","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","oryzae"
"X1116679","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia","stuartii"
"X4339348","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","anaerobius"
"X4307355","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",""
"X1135978","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",""
"X784386","Bacteria","Proteobacteria","Betaproteobacteria","Thiobacterales","","",""
"X3121406","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus",""
"X121566","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma",""
"X836917","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae","Cytophaga","xylanolytica"
"X4303213","Bacteria","Firmicutes","Clostridia","Clostridiales","[Tissierellaceae]","Parvimonas",""
"X541661","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Propionivibrio",""
"X4365130","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"X4423790","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","endodontalis"
"X1810358","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclus",""
"X362470","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","115",""
"X4388772","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas",""
"X168047","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia",""
"X582366","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Oxobacter",""
"X4099915","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiisalibacter",""
"X53642","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium","thermosuccinogenes"
"X174174","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","02d06",""
"X367809","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Edwardsiella",""
"X8054","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomonas",""
"X4353790","Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"X4386257","Bacteria","Proteobacteria","Betaproteobacteria","Ellin6067","","",""
"X3841245","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",""
"X287514","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","aerofaciens"
"X4458300","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","",""
"X329940","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",""
"X1106140","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Garciella",""
"X4471067","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","",""
"X4404087","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","PSB-M-3",""
"X288889","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","5-7N15",""
"X4369131","Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","Dehalobacterium",""
"X682726","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella","lenta"
"X4419564","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma",""
"X936565","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",""
"X4449014","Bacteria","Firmicutes","Clostridia","Clostridiales","[Acidaminobacteraceae]","Acidaminobacter",""
"X21464","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","guilliermondii"
"X4306785","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","","",""
"X4366487","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",""
"X547256","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter",""
"X311077","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax",""
"X4453710","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",""
"X35256","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",""
"X4444277","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Odoribacter",""
"X744700","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Pectinatus",""
"X324495","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","CF231",""
"X102513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","RF16","",""
"X9548","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Lonepinella","koalarum"
"X1129328","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Providencia",""
"X4469032","Bacteria","Firmicutes","Bacilli","Lactobacillales","","",""
"X4465275","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",""
"X4349062","Bacteria","Proteobacteria","Deltaproteobacteria","DTB120","","",""
"X194429","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","",""
"X288556","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium",""
"X252030","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia",""
"X354913","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","reuteri"
"X282549","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","perfringens"
"X289730","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53",""
"X235065","Bacteria","Tenericutes","Mollicutes","RF39","","",""
"X4381303","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium","citroniae"
"X817333","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","bowmanii"
"X349582","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","",""
"X1139930","Bacteria","Firmicutes","Clostridia","Clostridiales","[Acidaminobacteraceae]","WH1-8",""
"X437014","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Cohnella",""
"X45363","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Clostridium","cocleatum"
"X851938","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","moorei"
"X168583","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sobrinus"
"X4301097","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","",""
"X4461208","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","",""
"X1980933","Bacteria","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Veillonella","parvula"
"X1137471","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus","indolicus"
"X1135930","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","",""
"X624542","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",""
"X305278","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","xinjiangensis"
"X4316060","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Pseudobutyrivibrio",""
"X579049","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus",""
"X337227","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","YRC22",""
"X106335","Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae","",""
"X534926","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes",""
"X2990918","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","stercoris"
"X376397","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","",""
"X535342","Bacteria","Proteobacteria","TA18","PHOS-HD29","","",""
"X410196","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",""
"X343273","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus","salmoninarum"
"X1122982","Bacteria","Firmicutes","Clostridia","MBA08","","",""
"X585574","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","","",""
"X576819","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Avibacterium","gallinarum"
"X4440497","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Proteus",""
"X3058999","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Hahella",""
"X1108449","Bacteria","Firmicutes","Clostridia","Clostridiales","Caldicoprobacteraceae","Caldicoprobacter",""
"X4380976","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",""
"X4410353","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae","Brevibacterium",""
"X360508","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","formigenes"
"X9134","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Salinivibrio","costicola"
"X2036","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","",""
"X821690","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","andropogonis"
