"","CCIS00146684ST-4-0","CCIS00281083ST-3-0","CCIS02124300ST-4-0","CCIS02379307ST-4-0","CCIS02856720ST-4-0","CCIS03473770ST-4-0","CCIS03857607ST-4-0","CCIS05314658ST-4-0","CCIS06260551ST-3-0","CCIS07277498ST-4-0","CCIS07539127ST-4-0","CCIS07648107ST-4-0","CCIS08668806ST-3-0","CCIS09568613ST-4-0","CCIS10706551ST-3-0","CCIS10793554ST-4-0","CCIS11015875ST-4-0","CCIS11019776ST-4-0","CCIS11354283ST-4-0","CCIS11362406ST-4-0","CCIS11558985ST-4-0","CCIS12370844ST-4-0","CCIS12656533ST-4-0","CCIS13047523ST-4-0","CCIS14449628ST-4-0","CCIS15704761ST-4-0","CCIS15794887ST-4-0","CCIS16326685ST-4-0","CCIS16383318ST-4-0","CCIS16561622ST-4-0","CCIS17669415ST-4-0","CCIS19142497ST-3-0","CCIS20795251ST-4-0","CCIS21126322ST-4-0","CCIS21278152ST-4-0","CCIS22275061ST-4-0","CCIS22416007ST-4-0","CCIS22906510ST-20-0","CCIS22958137ST-20-0","CCIS23164343ST-4-0","CCIS24254057ST-4-0","CCIS24898163ST-4-0","CCIS25399172ST-4-0","CCIS27304052ST-3-0","CCIS27927933ST-4-0","CCIS28384594ST-4-0","CCIS29210128ST-4-0","CCIS29688262ST-20-0","CCIS31434951ST-20-0","CCIS32105356ST-4-0","CCIS32452666ST-4-0","CCIS33816588ST-4-0","CCIS34055159ST-4-0","CCIS34604008ST-4-0","CCIS35092938ST-4-0","CCIS35100175ST-4-0","CCIS36699628ST-4-0","CCIS36797902ST-4-0","CCIS37250421ST-4-0","CCIS38765456ST-20-0","CCIS40244499ST-3-0","CCIS41222843ST-4-0","CCIS41288781ST-4-0","CCIS41548810ST-4-0","CCIS41692898ST-4-0","CCIS41806458ST-4-0","CCIS44093303ST-4-0","CCIS44676181ST-4-0","CCIS44743950ST-4-0","CCIS44757994ST-4-0","CCIS45571137ST-3-0","CCIS45793747ST-4-0","CCIS46047672ST-4-0","CCIS46467422ST-4-0","CCIS47284573ST-4-0","CCIS47745468ST-4-0","CCIS48174381ST-4-0","CCIS48507077ST-4-0","CCIS48579360ST-4-0","CCIS48725289ST-4-0","CCIS50003399ST-4-0","CCIS50148151ST-4-0","CCIS50369211ST-20-0","CCIS50471204ST-4-0","CCIS50561855ST-4-0","CCIS51595129ST-4-0","CCIS51667829ST-4-0","CCIS52234160ST-4-0","CCIS52370277ST-4-0","CCIS53043478ST-4-0","CCIS53355328ST-4-0","CCIS53557295ST-4-0","CCIS54027808ST-4-0","CCIS55230578ST-4-0","CCIS55531770ST-4-0","CCIS56503244ST-3-0","CCIS58234805ST-4-0","CCIS59132091ST-4-0","CCIS59903910ST-4-0","CCIS61287323ST-4-0","CCIS62605362ST-3-0","CCIS62794166ST-4-0","CCIS63448910ST-4-0","CCIS63468405ST-4-0","CCIS63910149ST-4-0","CCIS64773582ST-4-0","CCIS64785924ST-20-0","CCIS65479369ST-4-0","CCIS70398272ST-4-0","CCIS71301801ST-4-0","CCIS71578391ST-4-0","CCIS72607085ST-4-0","CCIS74239020ST-4-0","CCIS74726977ST-3-0","CCIS76563044ST-4-0","CCIS76845094ST-20-0","CCIS77100899ST-4-0","CCIS77252613ST-4-0","CCIS78100604ST-4-0","CCIS78318719ST-4-0","CCIS79210440ST-3-0","CCIS80834637ST-4-0","CCIS81139242ST-4-0","CCIS81710917ST-20-0","CCIS81735969ST-20-0","CCIS81887263ST-4-0","CCIS82146115ST-4-0","CCIS82507866ST-3-0","CCIS82944710ST-20-0","CCIS83445808ST-4-0","CCIS83574003ST-4-0","CCIS83870198ST-4-0","CCIS84543192ST-4-0","CCIS85214191ST-3-0","CCIS87116798ST-4-0","CCIS87167916ST-4-0","CCIS87252800ST-4-0","CCIS87290971ST-4-0","CCIS87605453ST-4-0","CCIS88007743ST-4-0","CCIS88317640ST-4-0","CCIS90164298ST-4-0","CCIS90166425ST-4-0","CCIS90443472ST-4-0","CCIS90903952ST-3-0","CCIS91228662ST-4-0","CCIS93040568ST-20-0","CCIS94417875ST-3-0","CCIS94496512ST-4-0","CCIS94603952ST-4-0","CCIS95097901ST-4-0","CCIS95409808ST-4-0","CCIS96387239ST-4-0","CCIS98482370ST-3-0","CCIS98512455ST-4-0","CCIS98832363ST-4-0","CCMD11006829ST-21-0","CCMD12232071ST-21-0","CCMD13071240ST-21-0","CCMD13934959ST-21-0","CCMD14479708ST-21-0","CCMD18872694ST-21-0","CCMD19497912ST-21-0","CCMD23101338ST-21-0","CCMD25511638ST-21-0","CCMD25963797ST-21-0","CCMD26709089ST-21-0","CCMD26925580ST-21-0","CCMD34381688ST-21-0","CCMD35802077ST-21-0","CCMD40701343ST-21-0","CCMD42428553ST-21-0","CCMD45988061ST-21-0","CCMD46222674ST-21-0","CCMD46947453ST-21-0","CCMD48236717ST-21-0","CCMD50071957ST-21-0","CCMD51864103ST-21-0","CCMD60079086ST-21-0","CCMD63399960ST-21-0","CCMD64503764ST-21-0","CCMD64776337ST-21-0","CCMD72895164ST-21-0","CCMD74930188ST-21-0","CCMD79987997ST-21-0","CCMD82866709ST-21-0","CCMD86114146ST-21-0","CCMD86707194ST-21-0","CCMD87156761ST-21-0","CCMD88272491ST-21-0","CCMD90311071ST-21-0","CCMD93344354ST-21-0","CCMD95433940ST-21-0","CCMD96553385ST-21-0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA",1620268,170004,1440392,60461,824831,698736,936599,5389529,0,1237116,289249,4614169,70795,251805,128952,1796704,234446,0,1479894,2421115,0,0,86134,7006571,0,0,1738860,393118,217578,1117433,3281630,0,536558,933328,549696,2028965,4820785,4984379,3268364,2762207,0,0,0,55175,730969,493488,2032517,8862742,262229,198918,407916,177014,155201,3508200,721464,1319635,3593872,0,1010111,1469215,0,2394823,0,0,2860966,201964,0,2856788,3101886,0,202295,1942674,0,0,740599,99429,5403313,516121,417681,680600,1321620,1624999,918039,2196283,0,207062,2315087,298397,2652666,242398,298747,464967,509341,1059616,285570,0,0,8778726,265257,978808,2138206,1188817,0,743176,832212,1816779,191056,0,2661766,721919,920343,0,464261,3552797,872533,5425891,1450384,861980,1590965,167517,137442,9091669,5682377,381247,5495027,3980336,3152309,63820,0,0,0,0,300399,0,170904,0,0,1111401,2182479,1847374,2955056,955654,0,3636507,354934,0,0,463499,2154170,589459,1768233,1010789,0,200584,448201,1024633,317744,1260610,509686,68146,0,81319,0,256423,649238,102349,637435,0,353919,1522836,0,577155,171703,152947,173412,185712,622493,1349170,646946,465330,448846,133074,186834,801019,0,0,399184,1291117,162015,246444,729284,224407,809534,1917034,1235314,264909,1293130,628631,465861
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila",1416145,202075,670351,38152,509624,1048734,7497,603513,534653,684554,551005,0,31280,1325994,0,0,741282,30440,1070662,6719,22375,23243,16091513,0,0,415,3817,7298501,0,875603,862980,86247,18421,735528,501070,709434,4955,5968790,1390455,407370,36534023,8606,8070731,1397671,534835,0,712753,89621,139674,492265,3727,511668,5646,6083,6420,9470,0,5207692,0,71023,0,1164641,30426,589776,0,1008736,4364,948637,89879,9885027,3425,1018,564596,0,502498,3333071,564621,162085,167012,73016,14763,0,0,470673,1606035,5205,339,0,1527114,1634,3353114,658593,493,12594,160217,513987,1510847,1846117,0,50991,0,1304447,0,2556139,333133,16119,1079038,0,102,16044,32000,8482815,12358,0,6495,6398,0,12449,0,11559,513351,115079,1502,153438,1408800,3149439,808,0,13097,57741,35726,1852148,1467270,0,629145,873371,0,11820,0,641876,0,774852,2811007,2000654,1341123,56747,0,2211398,61110,0,2676,0,0,0,0,10111376,9998,3211803,3387,1150,11359258,5740,3015,743787,2046360,12270750,997234,2249655,30173,1313199,52937,4081839,3595,8505,0,2172,335430,33113,0,270667,605,12358780,1317132,107651,24842823,4444461,52223,344,7212,30596,50549,0,863059,7597,34905,19339975,0,5810,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",1406592,796086,149095,1256294,2527512,1044163,78029,749059,837716,413528,1514090,91757,461376,1347361,681910,962972,5113232,333391,1793361,739115,149114,15255,283047,3644474,1158403,4341,146118,2808086,616878,1428682,97193,301946,434085,1004298,184686,921912,4722148,659907,2785107,1539,30136467,462080,134298,3535130,63757,3552712,213262,644221,616646,398580,1792006,1791409,23115,230887,716738,91055,524888,63969,1362972,314365,594293,5148585,3637607,2664980,952735,370240,1151,256620,1290064,1105758,632640,3498016,81147,785947,1586773,18227352,756441,633622,88843,1600536,770720,558148,721,1751703,835639,784523,139272,173078,12825,229451,114590,263996,263950,979945,371322,173474,7935,44367,1502586,203238,5626256,290818,280526,779792,127887,13795014,217714,43613,15866,3952359,927124,19615,188648,465516,251358,8209,1671709,848708,2541706,264180,18348,16921025,3060635,523362,481960,28451,7892,1842861,278559,108942,12135197,3345092,59759,6379380,3124741,164832,687473,35992,2818731,3442411,1341158,119027,36278,1875179,6276926,604284,545393,3779116,1636989,37974,360155,131237,57649,148348,1004021,0,5340214,12422819,898067,1035153,655875,890604,120545,174245,2309722,661158,2682198,1920639,239694,10405040,9583325,1539433,487648,2877565,248843,175615,361344,1022,1123800,202556,3560910,9298,8581913,284368,14445382,1910176,2362042,457081,147219,935340,1282903,262035,5230795,11286,3006276,717424,11635,800041,2537777
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",1300156,299797,433336,55908,282403,26423,2179,1326459,556871,73510,591481,38688,326298,66491,701652,260596,40407,24584,35467,294412,1541509,143787,10685,124777,460542,577,26923,269289,938396,506445,341883,213623,16442,592,580,104803,241307,27098,716580,0,721,76098,26235,133981,1650,1626,1054370,198410,73374,51182,727304,29603,952314,38156,114648,8977,146191,297374,56823,5171,23966,0,1432374,291058,879340,17969,2911723,50816,2357727,363062,189853,4025659,2677021,1209060,716017,1841718,252735,802140,12879,495982,2552376,337255,0,304215,247602,30714,187534,463846,10013,1111353,245008,1347692,9824,361279,82034,257749,142774,20257,219,38458,2079756,256649,3666150,102980,68155,1328968,13400,0,2727,33026,1545147,2511176,126338,259637,181588,0,874135,546719,689764,18269,1189,254855,1331277,83931,6570,92046,249482,3095,45525,22403,344587,2588028,1661,6653977,13927,51495,12459,2108,7365244,5080829,73562,2038,479614,60792,7129,85158,32630,17802,405052,258333,336027,9849,27655,142577,3362,136397,69711,11579,24001,108188,862456,10374,11030,137566,741966,28474,3503371,323422,85199,1264539,9191552,40571,73196,148698,1240607,217907,360073,467001,869318,24516,2751423,285555,311,795357,0,38900,14161,72168,6073,214,86641,228639,182491,7817,6702166,201792,8973311,345969,2669936
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum",1266958,5276,260808,0,21879,16042,4544,11739,51925,20054,10521,15906,5055,26807,3728,1590,5197,35180,114119,71745,957,0,14047,48295,0,0,6403,32193,17257,102945,77318,7857,7757,83104,7201,47606,126757,1054327,14611,20435,6453,1168,6368,3501,28007,29446,13956,37101,1764,7163,4066,59855,5449,39102,23728,1810,399710,180054,32638,10864,0,97730,63121,8587,59624,555238,124332,525769,8380,23491,40708,23703,8214,849,22917,6715,20102,62588,1455,7550,0,27978,6188,43543,1760,69387,6782,25938,55506,2032,94986,75991,6479,219635,2544,2399,0,223203,29211,24587,174653,6868,0,22786,3272,10861,44617,0,26052,8448,47863,108619,3478,36364,4335,185699,188833,50206,30768,18719,5754,60714,33513,130542,21471,22989,52934,1371,11604,292098,5730,32625,0,0,5964,35068,1624769,34304,32365,40936,60878,5432,53851,26257,10455,20866,7650,18546,0,18380,13768,294798,0,5744,3924,19542,327492,15136,267367,17894,56047,8179,3639,17188,10437,29998,0,39594,0,19372,0,46451,6681,10068,15309,8169,6058,19951,45623,321893,25481,48840,31653,10219,25584,19529,485654,6926,7274,36932,21839,28876,91396,41456,0,515276,19534,17416,7315
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",1220679,17041,195373,12483,10086,63157,102226,194373,3356,135968,16766,4730,3760,87152,20435,30266,528,162,2508,52778,1470,0,77156,147223,0,0,5986,49797,5622,74215,289690,17609,96386,37413,6169,15838,189462,11464,266045,71097,0,0,11995,845,105835,0,0,32038,6975,6254,3749,18598,0,216245,24725,11908,1082420,5003,62949,404176,279,961771,0,6329,38881,35130,65796,80765,45344,0,110417,307378,19639,9250,248030,4406,873201,1172,15436,491004,121627,11970,151,17051,1484,8624,17963,35866,8279,9828,459047,18639,9073,310069,8602,4929,0,3431804,308,26762,237929,41501,27781,12697,19212,341885,10864,0,99093,7491,131492,1236,48047,52094,19018,123390,147177,39691,546507,0,0,238464,40758,17836,80928,122089,1696473,18754,12275,1040,6986,7101,0,0,420,0,882,28535,38989,697759,28523,178848,2505,416947,20958,12964,0,44097,59024,36012,20101,36188,133,208985,12135,153657,92996,11853,17309,1901,1382,0,4943,1206,109577,235083,6160,3986,139138,5225,184729,3366,2121,108,31392,30582,18786,22634,555,34551,9953,8123,0,62157,0,138612,0,4176,4051,4139,491956,22031,103028,0,147034,20550,76994,52972,17674
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii",1016906,27522,364072,160154,162805,77221,68270,56155,84033,12356,309873,386062,132956,279963,121325,100285,109,542307,178151,479929,144727,5538,12024,358885,0,0,3290,260071,655585,422405,123010,174709,233933,43241,570778,35475,151694,253208,81282,11592,0,2827,168532,143896,10578,543952,5185,38179,18134,58921,169241,574208,22521,274301,23426,153673,0,147412,0,371225,48277,8149,45400,205,512866,80028,842695,637,449247,144303,231801,544044,2463,627,244135,2433967,206648,144934,50676,97160,0,484050,0,273894,1120967,96492,229451,0,1165386,890859,184398,143000,3420,218889,0,418121,7661,14002,36317,276752,1619812,163810,0,433238,211417,767398,8817,85925,2076,698661,237388,0,64506,371435,137164,52719,154081,75551,269236,174216,82026,0,170946,200433,0,243665,15832,247416,19946,236982,485907,639631,139414,78794,287103,2359104,1004496,252986,277327,1262365,90294,29823,636914,1093711,287908,1506612,738,124705,68817,580427,0,79844,111194,106316,208848,1291089,551739,162809,88513,296,492422,330142,0,486166,761078,355488,245,2388720,1183,708772,212,330578,152624,773235,198712,69420,511289,0,2679104,364213,1326979,213082,327296,117570,0,717942,305206,127941,983,4179,10953,354533,1144,742742,0,1661126,5397,2528,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis",904892,7300,609272,4996,55117,341573,287172,24866,20946,15121,1408963,0,22128,189685,1156783,62307,178568,274855,32038,16290,11507,0,28503,41647,688,0,1726622,220772,1316135,44957,839795,289442,1189,142499,217638,18136,787847,16775,8723270,230503,0,0,105533,61424,0,538230,0,7032,52190,5742,925757,10478,5178,5798,50143,4502,0,8616,115457,68622,35067,70532,0,337974,5816,4147,1129,142416,72102,0,2680,242764,0,0,448735,918261,246805,105505,57180,11748,0,195842,0,98589,391733,12244,24268,0,3014,83193,1849,19992,60795,53417,23020,352135,274192,128710,12621,9497,1291340,200016,0,56511,27167,481879,8929,267970,189002,33447,26137,0,70682,259904,38956,9881,105190,586079,152925,27020,487158,50805,0,156,7093,44124,96744,108237,1997,73652,121392,25351,15459,0,51146,0,0,4475640,25699,65420,35135,10475,97663,36797,310263,599824,26599,3216,0,130144,377549,6994,43597,45024,0,12647,664998,1219112,2899,16415,0,332647,0,666775,59202,242030,19762,152499,1304445,271417,112,256045,1923,211630,80283,21886,375420,1242965,0,114330,0,75894,1363338,12183,31685,20052,7681,77533,98604,0,647661,0,146703,9675,0,7739,1445420,112272,333367
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA",863774,25011,105376,3891,191474,26279,10571,157730,7634,17216,21952,39953,15466,41816,228304,59014,253,0,175587,150932,8920,0,34046,402343,77778,0,159257,3355,16601,213275,107047,20902,315120,186595,8781,606503,343669,137591,333657,128520,0,0,1909,3224,69376,0,3196,318713,10363,2868,10007,98831,827,270957,242797,18491,3859765,2239,9204,39469,3187,780650,0,8204,1329220,14397,2287181,168486,32495,0,17787,117854,31515,10113,27834,4983,127374,9518,10869,100030,157311,14476,17326,23486,1069,6392,22161,20045,236443,2438,438567,34237,4518,8839,37099,4637,1172,217279,30730,11282,26919,79124,3355,14335,133693,282202,21589,0,72735,2631,49484,479,19236,27033,506469,136248,42298,14301,403577,1998,0,346966,69498,10152,29375,62552,817097,12822,4162,13567,43662,6251,755,0,6404,0,3325,14584,15313,71928,47610,47957,11151,388630,14527,27687,0,6366,3019,664053,8643,18689,2317,39081,64441,76102,7494,26500,15045,3095,3902,1161,153,1869,29179,47206,1583,7180,22060,90666,243789,5032,7097,2169,14153,11033,12837,25733,43456,13927,3101,4568,311,26395,0,30895,2046,47852,48714,11369,64113,19164,4190,2078,116680,7832,471542,7555,16215
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris",741583,377520,0,819440,455044,261769,0,8396,6621,54,0,0,12626,0,0,1230379,0,25212,3037992,4651,0,4024,368689,0,939899,0,3684,38157,711,0,4619,391838,0,1729911,20151,992,49016,1344620,2451,55,908,0,0,492115,0,707580,0,822083,61301,1177421,0,35764,687,977711,0,2111168,148478,0,810979,2641914,0,0,75,546926,480,6281,0,744874,295137,0,320503,0,224,0,102495,992326,0,103656,64989,1060347,1188210,0,5489,2034525,16464,1014464,65,1657873,7263,0,52254,636573,1430377,172080,1210350,433744,0,781360,0,29033,2061779,599888,2835,373458,503523,82863,77143,20788,0,0,81,358,533546,2002138,33464,6909598,243280,224,2033055,0,238,0,3469708,0,3391293,3725,0,257791,0,0,0,105525,12452,0,793990,0,94708,1099616,0,0,310,31193,6597,1778050,2264470,58149,73115,0,10445,258,4038,948243,512378,1005412,37717,1984428,1042055,516,62064,448745,445692,174107,33638,3214323,185,1763358,212,5649,0,536703,892,1110408,119767,559506,210654,145481,0,0,0,2520485,0,63651,231,212,1955,566795,1119,0,2100031,1769,431,0,554,45830,1353,660317,1326141,801963,1065445
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_champanellensis",665921,0,0,0,0,0,0,0,0,0,0,0,0,454442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3293,0,0,0,0,0,0,0,0,0,0,0,487629,0,0,0,0,1669,89443,0,0,0,0,0,22776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0,0,0,247043,6777,0,0,0,0,0,280365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854601,0,0,0,0,0,0,0,0,0,51023,0,0,111516,0,0,0,0,0,0,0,0,0,0,0,0,0,255304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434308,0,0,0,100272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae",593839,587362,614828,225800,477099,582012,188206,439897,93275,575916,1177839,125245,386704,443789,791041,0,2533099,320366,846738,1160333,1250168,87270,0,0,0,710,482916,1801538,449860,3707293,1777566,309686,0,0,92598,1149,1240498,523242,1661148,0,260328,112350,115712,191924,55994,1131538,0,183301,54821,218040,591009,125145,120641,95693,1089,357363,126122,0,2251771,282100,389189,0,981757,1143254,0,102309,3337,0,4636,173604,1699006,1197123,0,0,801425,0,174476,2324255,184920,0,0,1093187,0,641538,390634,5567,583666,0,16861,2143951,433240,525878,127356,801364,256079,0,55252,36186,0,1395307,1765173,1174759,0,477146,526357,0,23981,268536,1430704,0,884413,2236105,154732,618541,2245721,0,1748,5343584,24070,1155628,467013,0,0,2651339,178400,897498,76831,743745,0,147905,3360093,14593,765475,53570,450308,73505,103119,1426158,455737,0,317434,121006,910743,483318,307700,2063293,101,77652,82141,367627,286512,0,19923,48237,1105636,208144,16758,0,120265,548497,340964,251992,14465,320375,2186917,326158,310,893039,0,290047,8639462,1515250,510650,1696961,912959,626397,2349453,0,2621921,621587,3106836,1301,0,1270883,0,1863982,5718,2771306,1048725,4097730,3125446,2539274,10139,3908,8544,1303596,518,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50",543563,721615,3425060,0,0,199832,0,293697,0,0,0,0,1170199,4561528,0,1734126,0,0,0,0,0,0,1176427,0,0,0,0,0,0,0,0,221194,1189124,0,0,4364834,0,0,0,6430796,0,0,0,4594283,0,1726495,0,0,294637,198706,0,0,0,0,351095,0,0,0,0,155786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194704,396269,0,0,0,0,0,4443807,663454,1764498,0,0,0,0,0,95675,316491,0,0,22917018,573657,1129271,3213657,0,0,0,337031,4376553,0,0,0,0,0,0,2511394,305444,0,1381613,0,0,0,239046,422432,1144494,0,0,0,2121358,1085587,236536,0,0,0,897793,224253,0,0,0,0,0,0,0,2055587,0,0,0,0,0,0,0,0,0,0,0,0,1393652,0,1321903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258186,3858742,0,0,0,0,0,0,697024,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum",455269,573743,0,101839,500987,209894,236778,542744,113583,721496,338748,0,38640,145403,202379,29918,0,13339,376006,387212,37521,9959,11209,2170,0,0,49856,0,41706,1520818,1380032,343165,1730,857689,0,2558,0,1041259,53776,198071,0,0,2864,179305,165,341936,617767,166168,95491,204047,14337,39535,2327,118616,469621,14644,781491,0,111496,792,704991,73077,0,455,485362,177493,0,336976,912386,0,700538,313619,142,0,67106,90959,41182,51291,23248,135952,1110,0,0,781552,11959,603653,680925,503183,0,24918,873,413852,439857,842156,188094,117944,0,792334,945025,721360,3347891,79167,0,21850,153101,31181,1438,0,3426598,304284,1484775,3770,143662,336015,556523,551451,6979,1747891,2685846,976,173896,0,958429,0,648059,275445,527250,50258,36802,182823,1787,182238,5185,0,44342,0,0,651359,636959,1148135,224640,1210128,0,11466,111376,203422,0,345781,290551,367829,2197,10999,0,555939,0,0,2070,0,0,91551,0,66239,2544,806049,0,1492,0,50314,0,219691,359444,445705,34666,198398,546153,597688,333231,321255,0,49928,0,464761,0,2958,796294,33571,357367,372,52877,0,465358,0,2348,6246,0,912203,842445,1090805,31119
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus",442349,93013,195268,83375,224528,256981,281299,252514,1676,407316,151157,573279,13371,317734,232065,208740,109183,154363,115768,343241,33152,13147,248673,0,8099,0,34310,263197,39402,116090,546144,99096,486264,369096,175815,565,0,0,797567,302528,588,0,61237,47198,0,45364,0,13402,132492,32545,359125,154581,0,221388,240818,233455,20249,43496,84410,82173,173263,462210,0,64516,60277,30054,0,237316,675225,36045,159507,193721,4664,0,0,50706,245513,242595,149974,181323,0,0,56969,0,41323,110190,221095,257216,336874,489539,238445,140054,130401,563098,100446,27804,37981,1839327,78889,358704,387740,81197,0,123158,81712,0,31318,90936,334088,54121,393064,0,356729,315987,209047,402898,375012,178800,0,203406,71298,189969,0,47254,845536,165359,569809,24451,13632,100196,0,62963,57982,0,148219,0,0,292426,740012,0,322504,129359,0,3978,45128,123429,0,141569,125951,131254,0,116701,22105,94865,149113,360698,281248,12166,0,202227,106083,92821,400602,262311,22865,218353,48809,243536,307159,273734,0,115963,165230,220046,78008,28434,48106,216934,165132,180430,0,766960,332967,206829,149402,180068,394887,89229,195970,153388,119827,30284,0,250621,66039,0,181064,413297,327794
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens",441421,205123,2449236,73517,73509,307187,5170381,1247579,56936,820944,1244179,3783922,661743,623511,15725918,473365,0,0,614350,2822044,395596,4540,681131,2424520,260896,440,413861,739986,230603,5682978,29029,1087777,112502,2837067,1291928,54399,394593,0,1177,986274,18797,2695,92899,3371197,2261,133948,0,107972,114506,578830,1922673,852084,10197,2253692,1577058,916,532,35509,2747223,1589690,294096,6452,0,2329579,22019,1427219,0,3494603,1388899,11071,1422939,3994552,0,0,181421,1974343,72231,1271,1701318,1298045,1849454,0,0,500978,74435,1486205,805318,939888,5220,154083,35168,4391,802,1107121,358944,2268191,815894,1773704,78,1215549,10565659,560991,1795,2146833,353177,1798664,740999,0,3030979,300007,98871,0,2038834,8289329,1163030,67771,606247,470256,1910195,2063826,2636812,0,3647598,0,0,963936,974551,1091187,103610,2150678,1956,604645,102999,0,369055,0,2172,269902,1540,459900,0,4477157,221153,167857,5462435,2094037,0,469305,0,1005852,0,1048154,204998,967162,396,3918179,14972,1101202,640867,919392,668813,376152,3245187,707346,0,2815714,1357678,6943,1562835,419437,100,1285586,253437,657636,7601,322182,225536,823885,0,1238773,0,93825,912904,411017,0,542643,945051,4455106,680479,3652,1367500,0,5044836,7357,17388059,4126857,3710016,6107094,2182874
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",381014,501187,619297,775215,696374,162899,223088,461630,1037325,835864,0,2093,249706,1143305,633,164768,1737765,27155,433678,28353,436965,1124,610288,101,0,308,317810,3996417,172031,1825447,402601,482525,0,0,5345,159693,0,578622,508037,0,4753906,3301,137530,201940,0,1467393,1398105,452132,184960,315460,610118,1091536,255759,923105,579009,229456,198918,24801,0,326569,67895,0,129,2827704,634831,114566,0,173258,4853404,20765,65255,1295413,0,0,279540,0,229076,6707,711392,0,709251,0,2106,1786179,0,215145,428368,927748,2077,1392080,462209,257186,221779,445420,216881,1066420,306804,43522,0,63125,981341,0,0,79702,253737,1314909,20286,637016,0,0,0,2491,647048,120833,69800,1212,253396,0,0,582896,0,1220157,0,1273381,678170,792954,29576,342522,26267,141473,3661300,1795180,400578,179712,913930,27753,19202,53097,0,0,0,410314,1988075,780671,575445,6368569,401300,174895,237695,1161251,1769,235347,0,16671,0,0,759704,525899,7846,996957,749963,650955,0,307197,958826,336022,2663880,906650,0,548,0,946913,5559,324984,2361,36398,1252780,0,0,608528,0,3785,268,266546,0,666340,2532770,0,807208,3225,4667,1728027,796661,1152,581516,0,465,0,4560060
